it,loss,R,rmean,rvar,cx,cy,cp,cq
1,1.218849468785157,1.218849248899387,0.938723199374211,0.025771356116974953,-0.00900742450991648,0.0005882743494268521,0.009556677644730626,0.00684922048761348
2,1.2219186508505018,1.2219183319162794,0.9414157988999885,0.02614812671903283,-0.009120461606654922,-0.00439422988593556,0.006107619736095789,0.013377680298996216
3,1.2108258503584426,1.2108255059627175,0.9412511442793169,0.025881642030881377,-0.008717189580485106,-0.009607439759323268,0.0035879165925360953,0.0127690477492582
4,1.2099038194530525,1.2099033748613697,0.9425000782675949,0.026091999024618312,-0.014472028814220873,-0.011209645605375957,-0.0022012824534366924,0.010220742790740254
5,1.2104855241296988,1.2104845854973534,0.9383198125410487,0.02658546222946241,-0.01331071455589525,-0.02282261106469231,-0.0029193674537931744,0.015227270013116486
6,1.210258510388046,1.210256424822858,0.9436883363947777,0.02624341365584096,-0.0048041577638182386,-0.03809841860046635,0.010170402825272125,0.02252459699967963
7,1.210454572475088,1.2104535434932815,0.9370625133268575,0.0265582349303155,-0.0008297127702560753,-0.026326670007825948,0.00034981224509156604,0.018299410413837754
8,1.2092350119407136,1.2092344928465075,0.9402971108130243,0.026992870226892545,-0.0025370343373415758,-0.019269711211000917,-0.0031382279751142523,0.011457411439446251
9,1.2062979064106114,1.2062973120733644,0.9383701319515224,0.026277274279956374,0.003995908106876944,-0.021694500024724714,-0.0024879723249075494,0.010065131051724298
10,1.2064385842450405,1.2064380479148646,0.9404734281665915,0.026348450284932795,-0.0020699231357595334,-0.022824776112563668,-0.0005385994485005655,-0.0032490952948702467
11,1.207201079531553,1.2072006706439125,0.9436030728628414,0.026250634328295844,-0.004003820878561139,-0.01912730664891259,-0.003638131110050324,0.0036785888433340393
12,1.2072083788986314,1.207207493234698,0.9409625899095011,0.026260859631404967,-0.017543152513450195,-0.0219950585099895,-0.005529312145509687,0.007956392108745415
13,1.2091906731363906,1.209189926073825,0.9412532890263219,0.026294871349300707,-0.00846721538604216,-0.025061935969744865,-0.006221592268104237,0.0028830637367113525
14,1.210045552753663,1.2100449894575114,0.9400032593331916,0.026391158710234293,-0.012524515393425379,-0.01969250771702408,0.0024287177955976094,-0.003533427885716726
15,1.2097097228242346,1.2097087696892888,0.9398022875739801,0.026716517090799884,-0.01635859535606672,-0.025550236765011395,-0.0026703650548266992,-0.005032503265717203
16,1.2088829442667557,1.208881272161513,0.9447386894135549,0.026177453449141675,-0.01442026452298027,-0.03711760519866307,-0.0002761970829455699,0.009279178310427025
17,1.2068546580871926,1.2068538496670396,0.9398304279096136,0.02644239079291929,-0.007751236426623943,-0.02667840167238885,0.002142577712367461,0.005633861594816952
18,1.2067548132984474,1.206753724995423,0.9457686081592755,0.026401373935671244,-0.010237977040407145,-0.028040992569734805,0.007160027261215305,0.012068473868894567
19,1.2076667064039004,1.207666147431908,0.9412310912542757,0.026582623086090943,-0.015263022107126555,-0.016751740661146083,-0.003655542080834319,0.005634529594738402
20,1.2082663964421427,1.2082654345299413,0.9406324534535846,0.026637256836115418,-0.009803793658895,-0.02786458010155598,-0.0008045577328740503,0.009403782301493765
21,1.2081440300026707,1.2081433758430844,0.9413400130726559,0.02682203718736261,-0.006998166766699986,-0.02166000160808008,0.008491288941463606,-0.007977403874885013
22,1.207970651604485,1.2079694310485554,0.9422143187295405,0.026475082156968956,-0.0022117394790096417,-0.034127193145408276,0.0066832215978031035,-0.0024577515407968992
23,1.2072733055655473,1.2072722425965585,0.9434998218749161,0.02665541088755567,-0.015335797719768266,-0.026562031447015994,0.0058997094629974585,-0.009334761755177536
24,1.2058057263937665,1.2058046500951956,0.9409857576637123,0.026033681574154977,-0.007158351218077238,-0.030927280116165568,0.008254821363694098,-0.00034376394005432477
25,1.2067121712930557,1.2067110641860694,0.9418972973296577,0.026162259953488,-0.016150978441056774,-0.028309428225811457,0.0006209543509992379,-0.0066439159556572844
26,1.2074726936803062,1.2074714671902274,0.9426566919216496,0.025972996300197705,-0.014921741991922356,-0.02856008816764304,0.005431143526603622,-0.01258378325563658
27,1.2064517042708418,1.2064503752236955,0.9394586913455861,0.026110738354378077,-0.011529354560771822,-0.03019843668545128,0.015861315141944565,0.005682280942905593
28,1.207865947775829,1.2078650828411703,0.9407088209708457,0.02666317480960833,-0.009162610671033841,-0.018896645901295642,0.01659148407002356,-0.012178375234876467
29,1.2065206761158913,1.206519852183437,0.9389772421240795,0.026167203263044746,-0.004682826185754417,-0.01596425921765447,0.023208262385404074,0.002865704992742696
30,1.205754264640722,1.2057535342616585,0.9420846703182689,0.026383694442742307,-0.015844636429681525,-0.019085548571278907,0.009333598382206484,-0.005257308008461536
31,1.2060669802156125,1.2060656627938742,0.9417083359548627,0.02709617288026167,-0.008753784900905202,-0.02971996789357398,0.01881479031355303,0.0017904013391730267
32,1.2072645058304101,1.2072639085829668,0.9384043149434056,0.026575034816478875,-0.016405976780954727,-0.014065234635060968,0.011353309077717503,-0.0010229544597970754
33,1.2052475910027132,1.205246709020033,0.9387402810793195,0.026762785409973178,-0.007026281256277874,-0.028662020593011425,0.0006753117191033834,-0.0032148819379447862
34,1.204420760905203,1.2044192751164946,0.9382072465043405,0.026256153022610577,-0.01535196770607672,-0.03428534673323235,-0.007201182259645093,-0.004738883986936074
35,1.2049865492391405,1.2049857335553915,0.9397389518546588,0.026546446795426355,-0.003727225877551139,-0.027406259493009004,-0.0018670088915751345,-0.006848299455426305
36,1.2050090330287264,1.2050076145545696,0.9386126350416806,0.02678653916056087,-0.02187067497611459,-0.026050438357724786,-0.01593156863499458,-0.002721386854546667
37,1.2063285604526646,1.2063278960225967,0.9395531888397213,0.02638665744065824,-0.010597079387973357,-0.016831159645835973,-0.010177702084711443,-0.012843596109263044
38,1.2081734482083615,1.208173092669028,0.9435534137108764,0.026151433795635847,-0.012429948888632605,-0.01196227299477018,-0.007481560113015062,-0.0012907319754453036
39,1.2058342360460208,1.2058332697495278,0.9392211849935899,0.026861967772836788,-0.010775887325808867,-0.025525064631702985,-0.007601548483722643,-0.011856098263470847
40,1.2059774410125847,1.205977266902831,0.9386100293792441,0.02679886000496038,-0.009944219862887167,-0.006232473994817422,-0.005419739067635682,0.002590398435293916
41,1.2061549295197123,1.2061542570591086,0.943264802780129,0.026527340204778312,-0.007603674853358484,-0.024481242270888253,-0.0037398665701952037,0.0010163437776591628
42,1.2085784634261474,1.2085780953479297,0.9406932956977145,0.026147331650861767,-0.0005154049715907453,-0.01551382753202174,0.003091565484624522,0.010829632669510739
43,1.2067061028511847,1.206705620429773,0.9427638758734977,0.02702963967909978,-0.014824249961939852,0.002054783972907489,0.0031124578246574668,0.015762846803927543
44,1.2060537426303062,1.206053495412373,0.9393318718235499,0.026280687424879035,-0.005039580274276204,-0.007848424230762954,5.638055617018741e-05,0.012646723585587888
45,1.2059420164848762,1.2059415496117751,0.9439810596414405,0.02568181329439426,-0.010453728327926872,-0.012262711670926543,0.0038163221973431718,0.013870069969899585
46,1.2054906102257386,1.2054903336004301,0.936888621182706,0.026042988620782134,-0.00013469210460906802,-0.006143389153270433,0.012195204626481342,0.009479989240426298
47,1.2054969671494133,1.2054966348786627,0.9440854144182816,0.02641429546513034,-0.013002728677431947,0.004242938617180862,0.006176604972795526,0.0103332552664336
48,1.2053778312064416,1.2053774401396928,0.9357575134587656,0.026847729633543232,-0.013515857968272295,-0.0042557751940658604,0.01045242308616329,0.00898632435539403
49,1.205844444378031,1.2058442072043616,0.9399852487455975,0.026492310368080817,-0.006230223217365922,0.011015144183331663,0.008733353519359438,0.0006958136674326495
50,1.2058005279902437,1.205800222614748,0.9370669740480154,0.02671940974836886,-0.013560839354233736,-0.0029972825166382365,0.008744001086597274,0.005980672947535175
51,1.2059759741652532,1.2059757981748571,0.9394862163506772,0.026542409512671384,-0.009724365308097276,0.00855317872081249,0.002791236907695609,0.00045648701220341275
52,1.206268173292623,1.2062680409820596,0.9392959068604847,0.02640406716357492,-0.006027283192840893,-0.003865022273272658,-0.008681162923095466,-0.0023256959559325966
53,1.2054572126859704,1.2054571735839832,0.9402083353957548,0.026181666272293125,0.0005108741965462968,0.002875442768146295,-0.005167580610209771,-0.0018958554960022292
54,1.204563385512168,1.2045631064423723,0.9412730377468995,0.026283894686057407,-0.005397186429925606,0.01558311831035952,-0.0025899764502329485,-0.00034812057904731384
55,1.2059272332084574,1.205927048164236,0.9375094713885468,0.02540449740611916,-0.002563662110238776,0.01325740840700133,0.0004407158926715153,0.0014959144817160688
56,1.2076604235328627,1.207660054327223,0.9404398424813866,0.026174254020063747,-0.0009275869077686896,0.01908129735544482,-0.0015639610909987437,-0.0012321913778682886
57,1.2071783908174458,1.207178010860545,0.9388366451423471,0.026468217586479204,2.5918728310140676e-07,0.018151702074399485,0.002132734310217471,0.0067553952530897835
58,1.2059384388088625,1.2059376411362035,0.9396237709060782,0.02599537475159075,-0.0012291211229266234,0.027699002919601715,-0.0031033579504895423,0.004359305019453077
59,1.204682525165664,1.2046822278288705,0.9413330568685699,0.026334505973122424,-0.011025928761137796,0.005606702471243764,0.006243791485729425,0.01024930203862262
60,1.2061279140654046,1.206127580184269,0.9407345300386537,0.02626129933159743,-0.003787284265265195,0.01683220764776235,-0.0030388499350385545,-0.005164994744262912
61,1.2054868316991232,1.2054865613698995,0.9430668863437958,0.025830736613970156,-0.011978682661348028,0.01103967683887281,-2.7893789986842183e-05,0.0021580526895948753
62,1.2059787479487345,1.2059786346259118,0.9418729332417514,0.025902394650580314,-0.0070556799119268964,0.0058742659450390314,0.0017092254205380926,-0.005079201084561441
63,1.2042007612079022,1.2042000394338392,0.9443789798982255,0.02583607886335255,-0.0031343185871410243,0.014776171929274749,-0.021167136715708308,0.006726640859875288
64,1.203087778112531,1.2030875796217484,0.9380466231652116,0.026099375952408854,-0.003089238702222853,0.010805250232996718,-0.006575208602109081,-0.0053510734991005955
65,1.2033814097989037,1.2033810175239543,0.9399133122527246,0.026545533519091398,0.001392548189243712,0.01402982295292298,-0.011939901920556863,0.007113626748385291
66,1.2047696160279242,1.2047691948017538,0.9385410428214019,0.02641091172491992,-0.005239379562128495,0.01925651485126155,-0.0017618570109773563,0.004417451627031634
67,1.203996767222337,1.2039965219390119,0.9416627221127255,0.026143500064475484,0.003015145167368625,0.013081610784449315,-0.008000208396950677,0.0008412069920481486
68,1.205701287568576,1.2057009418229598,0.9408571872786872,0.02633952807599178,0.0048390662597539635,0.015275711393482574,-0.007176058658054982,-0.006092897398886478
69,1.203726260990837,1.2037258077619117,0.9412865580318036,0.025806817095480345,0.0018840103920009217,0.020659319330029728,-0.003926423572346198,0.0026614649739854805
70,1.2037302435953932,1.2037298780295098,0.9414891632007177,0.02595685387236661,0.003860937861284848,0.015602842184672264,0.0019454817057208966,-0.01015102896037126
71,1.2028849826081618,1.2028847656423005,0.938073684018905,0.02607123513945233,-0.0017003044669699724,0.010695914945270687,-0.00144546049699287,-0.009858483032345386
72,1.203139433296256,1.2031388639665834,0.9405862103550594,0.02638523000805162,0.0003225669485111666,0.015986603519098194,-0.008908761207453392,-0.015293265912326279
73,1.2022271525130994,1.202226968633759,0.9409134180926665,0.02625536351699263,0.007146649484616091,0.0011914778168819614,3.4716163861027385e-05,-0.011444179385279248
74,1.201965668134352,1.2019650209606108,0.9396552000610867,0.02636704730094459,0.005969974816564445,0.021356448441697626,-0.011854886590143273,-0.0038040108634448655
75,1.202427682840445,1.2024274000543937,0.9391623244822158,0.026138382236515486,-0.0007185116898988326,0.014651352624732676,-0.002985081418158644,-0.007632716589526685
76,1.202607982831284,1.202607877036432,0.9370557738931475,0.02613256877729942,0.00595990007782018,0.004119340280135744,-0.005988947561499027,0.004121532239824032
77,1.2036704477842324,1.203670278839658,0.9400824589231039,0.026139671631062317,0.0018198215676695024,0.004908009836952708,-0.010803940837592762,0.0049351011124960245
78,1.2032748810854612,1.203274778244261,0.9371795565184796,0.02581639010255286,0.007159542884947314,-0.004267271586003023,-0.002568560762744774,0.005128171091301099
